listing_id,nights_booked,payment_method,amount,booking_date
17051896,10,gift_card,340,2018-08-31
17071054,5,gift_card,295,2021-10-16
17075418,8,coupon,320,2018-10-23
17077519,9,gift_card,1836,2017-06-26
17084979,13,bank_transfer,1040,2021-06-19
17100847,9,credit_card,882,2021-05-22
17101323,18,coupon,1350,2021-03-07
17103649,8,coupon,952,2017-02-19
17103959,12,bank_transfer,456,2018-04-11
17108610,95,credit_card,3325,2020-12-26
17108611,13,credit_card,585,2021-04-02
17115854,23,gift_card,1725,2020-06-21
17118308,12,bank_transfer,660,2019-12-21
17122109,8,bank_transfer,200,2017-06-18
17122755,11,gift_card,935,2019-06-27
17122804,10,gift_card,360,2019-08-01
17127660,11,coupon,242,2018-11-20
17128255,11,bank_transfer,220,2021-05-21
17129570,12,credit_card,228,2020-11-04
17130089,8,bank_transfer,520,2019-01-27
17131599,12,gift_card,300,2021-11-04
17132656,11,coupon,165,2020-02-24
17134424,6,gift_card,774,2020-08-29
17134678,7,bank_transfer,763,2020-08-08
17135938,190,bank_transfer,16340,2021-04-28
17137524,9,coupon,153,2021-12-20
17140201,7,credit_card,315,2020-08-16
17147510,11,coupon,660,2021-05-02
17149722,10,bank_transfer,1000,2020-12-11
17151097,8,gift_card,368,2020-12-27
17154040,11,coupon,704,2019-01-27
17155055,8,credit_card,248,2020-03-10
17162543,12,gift_card,1440,2021-03-06
17162815,9,gift_card,450,2020-08-20
17163611,18,gift_card,2322,2020-04-17
17165653,66,coupon,9900,2017-10-25
17182349,10,credit_card,260,2019-10-28
17184609,9,bank_transfer,405,2017-07-17
17190301,7,credit_card,273,2021-07-31
17191346,9,gift_card,675,2017-02-15
17195138,11,bank_transfer,462,2021-12-10
17195217,15,bank_transfer,1335,2021-10-21
17197117,11,coupon,3135,2021-03-12
17197823,10,bank_transfer,530,2021-05-18
17198791,13,coupon,585,2020-10-06
17207252,7,credit_card,210,2021-12-10
17214218,10,credit_card,500,2021-02-14
17219069,9,gift_card,720,2021-12-14
17220997,8,bank_transfer,872,2018-07-19
17223221,6,credit_card,270,2021-08-10
17223235,12,coupon,2028,2020-05-03
17237876,10,credit_card,400,2018-02-21
17243647,11,bank_transfer,1100,2020-09-05
15121377,193,bank_transfer,5790,2021-10-29
15124115,11,credit_card,242,2019-10-09
15128504,6,bank_transfer,1440,2019-12-23
15129486,183,gift_card,8235,2019-01-28
15135449,5,coupon,635,2019-05-02
15135834,6,bank_transfer,264,2019-01-21
15140007,102,credit_card,11220,2021-11-04
15140607,157,gift_card,10362,2019-08-24
15142405,4,coupon,400,2019-03-11
15153401,11,gift_card,1650,2017-10-03
15155170,12,gift_card,3600,2018-05-16
15156236,94,bank_transfer,3196,2021-05-10
15158869,5,gift_card,190,2019-03-30
15159078,10,bank_transfer,720,2021-12-15
15160364,9,gift_card,234,2021-12-26
15160493,8,coupon,400,2017-09-28
15161998,7,gift_card,1400,2021-11-15
15169912,11,gift_card,275,2018-03-13
15171415,15,bank_transfer,1800,2021-11-30
15187287,186,bank_transfer,13950,2018-08-12
15187855,6,gift_card,252,2019-04-28
15188169,10,credit_card,140,2018-05-16
15189990,6,bank_transfer,210,2018-10-24
15197627,5,bank_transfer,190,2017-08-29
15198399,7,bank_transfer,623,2019-09-26
15202895,14,credit_card,840,2018-09-19
15203847,14,coupon,1596,2019-09-04
15205608,12,credit_card,960,2017-02-23
15212625,6,coupon,216,2017-06-23
15214235,7,credit_card,497,2019-10-29
15214733,12,coupon,996,2020-01-06
15215429,34,gift_card,2788,2020-12-30
15218516,9,credit_card,387,2021-06-29
15218854,25,credit_card,1150,2019-02-10
15224790,22,bank_transfer,880,2018-04-07
15225524,9,credit_card,297,2017-10-26
15226698,10,coupon,790,2018-03-21
15229038,10,gift_card,780,2019-10-26
15235825,12,credit_card,1140,2021-01-25
15235950,7,coupon,665,2019-04-04
15245252,9,gift_card,405,2019-02-09
15245580,13,coupon,390,2018-12-09
15255651,9,bank_transfer,405,2018-05-30
15265341,7,gift_card,350,2020-01-13
15266797,10,gift_card,200,2020-11-04
15269205,33,coupon,1287,2016-12-20
15275440,13,gift_card,676,2017-12-23
15277811,99,coupon,9900,2018-04-09
15292834,10,bank_transfer,1100,2017-08-13
15293787,11,credit_card,869,2018-09-12
15304742,93,coupon,3162,2017-10-20
15307995,9,coupon,585,2017-05-28
15320058,11,gift_card,1045,2019-11-03
15321733,95,gift_card,2850,2019-07-03
15325618,13,bank_transfer,845,2020-11-27
15332347,11,credit_card,330,2021-02-17
15336150,64,bank_transfer,4160,2020-12-03
15336669,8,credit_card,400,2021-12-07
15352584,9,credit_card,270,2019-07-20
15355534,5,credit_card,1050,2020-10-10
15356053,6,gift_card,270,2020-10-13
15357789,11,bank_transfer,451,2019-04-27
15363472,7,coupon,728,2018-08-11
15365339,8,bank_transfer,520,2017-10-27
15365969,8,bank_transfer,200,2020-03-28
15370125,11,coupon,429,2019-10-29
15384347,7,credit_card,245,2021-06-01
15389486,4,credit_card,72,2020-03-16
15395696,18,credit_card,540,2018-11-20
15397322,7,gift_card,238,2020-10-06
15402781,13,credit_card,910,2018-11-23
15406878,100,credit_card,5200,2021-03-12
15408106,4,gift_card,180,2020-01-18
15416165,8,gift_card,360,2017-08-21
